直播,#genre#
20231005,https://vdse.bdstatic.com//c2289af7749daef7a72ea754f33a3a06.mp4

央视,#genre#
CCTV-1综合,https://cntv.sbs/tv?auth=231005&id=cctv1
CCTV-2财经,https://cntv.sbs/tv?auth=231005&id=cctv2
CCTV-3综艺,https://cntv.sbs/tv?auth=231005&id=cctv3
CCTV-4中文国际,https://cntv.sbs/tv?auth=231005&id=cctv4
CCTV-5体育,https://cntv.sbs/tv?auth=231005&id=cctv5
CCTV-5+体育赛事,https://cntv.sbs/tv?auth=231005&id=cctv5p
CCTV-6电影,https://cntv.sbs/tv?auth=231005&id=cctv6
CCTV-7国防军事,https://cntv.sbs/tv?auth=231005&id=cctv7
CCTV-8电视剧,https://cntv.sbs/tv?auth=231005&id=cctv8
CCTV-9纪录,https://cntv.sbs/tv?auth=231005&id=cctv9
CCTV-10科教,https://cntv.sbs/tv?auth=231005&id=cctv10
CCTV-11戏曲,https://cntv.sbs/tv?auth=231005&id=cctv11
CCTV-12社会与法,https://cntv.sbs/tv?auth=231005&id=cctv12
CCTV-13新闻,https://cntv.sbs/tv?auth=231005&id=cctv13
CCTV-14少儿,https://cntv.sbs/tv?auth=231005&id=cctv14
CCTV-15音乐,https://cntv.sbs/tv?auth=231005&id=cctv15
CCTV-16奥林匹克,https://cntv.sbs/tv?auth=231005&id=cctv16
CCTV-17农业农村,https://cntv.sbs/tv?auth=231005&id=cctv17
CCTV-4K超高清,https://cntv.sbs/tv?auth=231005&id=cctv4k
CCTV-164K,https://cntv.sbs/tv?auth=231005&id=cctv164k

卫视,#genre#
北京卫视,https://cntv.sbs/tv?auth=231005&id=bjws
东方卫视,https://cntv.sbs/tv?auth=231005&id=dfws
天津卫视,https://cntv.sbs/tv?auth=231005&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=231005&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=231005&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=231005&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=231005&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=231005&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=231005&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=231005&id=gsws
青海卫视,https://cntv.sbs/tv?auth=231005&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=231005&id=sxws
河北卫视,https://cntv.sbs/tv?auth=231005&id=hbws
山西卫视,https://cntv.sbs/tv?auth=231005&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=231005&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=231005&id=ahws
河南卫视,https://cntv.sbs/tv?auth=231005&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=231005&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=231005&id=hunws
江西卫视,https://cntv.sbs/tv?auth=231005&id=jxws
江苏卫视,https://cntv.sbs/tv?auth=231005&id=jsws
浙江卫视,https://cntv.sbs/tv?auth=231005&id=zjws
东南卫视,https://cntv.sbs/tv?auth=231005&id=dnws
厦门卫视,https://cntv.sbs/tv?auth=231005&id=xmws
广东卫视,https://cntv.sbs/tv?auth=231005&id=gdws
深圳卫视,https://cntv.sbs/tv?auth=231005&id=szws
广西卫视,https://cntv.sbs/tv?auth=231005&id=gxws
云南卫视,https://cntv.sbs/tv?auth=231005&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=231005&id=gzws
四川卫视,https://cntv.sbs/tv?auth=231005&id=scws
康巴卫视,https://cntv.sbs/tv?auth=231005&id=kbws
新疆卫视,https://cntv.sbs/tv?auth=231005&id=xjws
兵团卫视,https://cntv.sbs/tv?auth=231005&id=btws
西藏卫视,https://cntv.sbs/tv?auth=231005&id=xzws
海南卫视,https://cntv.sbs/tv?auth=231005&id=hinws
三沙卫视,https://cntv.sbs/tv?auth=231005&id=ssws
海峡卫视,https://cntv.sbs/tv?auth=231005&id=hxws
北京纪实科教,https://cntv.sbs/tv?auth=231005&id=bjjskj

